#type	format	SLOT Identifier	SLOT Name	SLOT Type	Scaling	Range	Offset	Length	Date Created or Last Modified
int	u	216	SAEOC00	OC	1 Binary	0 to 127	0	7 bits	
int	d	148	SAEpa01	Power, Apparent	1 VA/bit	-2,000,000,000 to 2,211,081,215 VA	-2,000,000,000 VA	4 bytes	11/9/2000
d	4	30	SAEpc01	Percent, position/level	0.0025 %/bit	0 to 160.6375 %	0	2 bytes	
d	1	205	SAEpc02	Percent, position/level	0.1 %/bit	0 to 102 %	0	10 bits	12/31/2001
d	1	44	SAEpc03	Percent, position/level	0.4 %/bit	0 to 100 %	0	1 byte	
d	1	128	SAEpc04	Percent, position/level	0.8 %/bit	-100 to 100 %	-100 %	1 byte	8/10/2000
int	d	45	SAEpc05	Percent, position/level	1 %/bit	-125 to 125 %	-125 %	1 byte	
int	u	46	SAEpc06	Percent, position/level	1 %/bit	0 to 250 %	0	1 byte	
d	1	251	SAEpc07	Percent, position/level	0.1 %/bit	-100 to 100 %	-100 %	2 bytes	11/11/2004
d	7	256	SAEpc08	Percent, position/level	0.0078125 %/bit	-251 to 250.99 %	-251 %	2 bytes	5/18/2005
d	3	264	SAEpc09	Percent, position/level	0.004 %/bit	-125 to 132.02 %	-125 %	2 bytes	5/10/2006
d	3	268	SAEpc10	Percent, position/level	0.125 %/bit	0 to 0.875 %	0	4 bits	8/10/2006
d	3	430	SAEpc11	Percent, position/level	0.005 %/bit	-150 to 171.275 %	-150 %	2 bytes	5/5/2016
d	2	254	SAEpc15	Percent, concentration	0.25 %/bit	0 to 62.5 %	0	1 byte	11/11/2004
d	6	237	SAEpc16	Percent	0.000514 %/bit	-12 to 21.02707 %	-12 %	2 bytes	1/1/2013
d	1	295	SAEpc17	Percent, gain	0.1 %/bit	-100 to 6325.5 %	-100 %	2 bytes	8/9/2012
d	1	299	SAEpc18	Percent	0.5 %/bit	0 to 125 %	0	1 byte	2/20/2008
d	2	308	SAEpc19	Percent, droop	0.04 %/bit	0 to 10 %	0	1 byte	6/18/2009
d	3	334	SAEpc20	Percent	0.001 %/bit	-32 to 32.255 %	-32 %	2 bytes	2/3/2011
d	7	345	SAEpc21	Percent	0.0015625 %/bit	0 to 100.3984375 %	0	2 bytes	8/11/2011
